DivisionName,CreationDate,textbox2,textbox4,PricewithDiscount,sumWeight,Textbox14,textbox5,PricewithDiscount1,sumWeight1
ASIA SKY EXPRESS KAZAKHSTAN,01.02.2021,,,,,3525,"4 017 060,79","3 086 523,40","7559,22"
ASIA SKY EXPRESS KAZAKHSTAN,02.02.2021,2,"5 489,00","4 433,40","1,50",3920,"4 290 014,12","3 159 794,75","7989,82"
ASIA SKY EXPRESS KAZAKHSTAN,03.02.2021,,,,,3671,"3 902 609,45","2 879 357,23","7921,78"
ASIA SKY EXPRESS KAZAKHSTAN,04.02.2021,,,,,4051,"4 083 924,05","2 876 229,86","10036,64"
ASIA SKY EXPRESS KAZAKHSTAN,05.02.2021,,,,,4240,"4 197 433,60","3 188 895,92","7769,89"
ASIA SKY EXPRESS KAZAKHSTAN,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
ASIA SKY EXPRESS KAZAKHSTAN,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
ASIA SKY EXPRESS KAZAKHSTAN,08.02.2021,,,,,3419,"3 055 828,95","2 150 854,84","8595,76"
ASIA SKY EXPRESS KAZAKHSTAN,09.02.2021,,,,,3764,"3 943 590,97","2 904 738,55","6915,60"
ASIA SKY EXPRESS KAZAKHSTAN,10.02.2021,,,,,3556,"3 774 267,47","2 694 716,58","8195,63"
ASIA SKY EXPRESS KAZAKHSTAN,11.02.2021,1,"2 639,00","2 639,00","0,50",3430,"3 510 806,01","2 561 886,42","6278,32"
ASIA SKY EXPRESS KAZAKHSTAN,12.02.2021,4,"3 242,00","1 868,00","0,80",3170,"3 694 458,78","2 663 795,69","6910,90"
ASIA SKY EXPRESS KAZAKHSTAN,13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
ASIA SKY EXPRESS KAZAKHSTAN,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
ASIA SKY EXPRESS KAZAKHSTAN,15.02.2021,,,,,3545,"3 990 950,05","2 822 111,89","9054,02"
ASIA SKY EXPRESS KAZAKHSTAN,16.02.2021,,,,,3665,"3 712 329,56","2 761 120,47","7860,97"
ASIA SKY EXPRESS KAZAKHSTAN,17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
ASIA SKY EXPRESS KAZAKHSTAN,18.02.2021,,,,,3317,"3 601 028,28","2 621 546,50","8063,76"
ASIA SKY EXPRESS KAZAKHSTAN,19.02.2021,,,,,3491,"4 193 909,34","3 182 098,82","12949,70"
ASIA SKY EXPRESS KAZAKHSTAN,20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
ASIA SKY EXPRESS KAZAKHSTAN,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
ASIA SKY EXPRESS KAZAKHSTAN,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
ASIA SKY EXPRESS KAZAKHSTAN,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
ASIA SKY EXPRESS KAZAKHSTAN,24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
ASIA SKY EXPRESS KAZAKHSTAN,25.02.2021,1,"2 639,00","2 111,20","0,25",4005,"4 197 883,82","3 048 461,47","10063,78"
ASIA SKY EXPRESS KAZAKHSTAN,26.02.2021,,,,,3923,"4 372 380,84","3 262 106,20","18305,83"
ASIA SKY EXPRESS KAZAKHSTAN,27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
ASIA SKY EXPRESS KAZAKHSTAN,28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
"TOO ""PARCEL DELIVERY SERVICES""",01.02.2021,,,,,3525,"4 017 060,79","3 086 523,40","7559,22"
"TOO ""PARCEL DELIVERY SERVICES""",02.02.2021,,,,,3920,"4 290 014,12","3 159 794,75","7989,82"
"TOO ""PARCEL DELIVERY SERVICES""",03.02.2021,,,,,3671,"3 902 609,45","2 879 357,23","7921,78"
"TOO ""PARCEL DELIVERY SERVICES""",04.02.2021,,,,,4051,"4 083 924,05","2 876 229,86","10036,64"
"TOO ""PARCEL DELIVERY SERVICES""",05.02.2021,8,"10 999,00","5 631,00","2,50",4240,"4 197 433,60","3 188 895,92","7769,89"
"TOO ""PARCEL DELIVERY SERVICES""",06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
"TOO ""PARCEL DELIVERY SERVICES""",07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
"TOO ""PARCEL DELIVERY SERVICES""",08.02.2021,,,,,3419,"3 055 828,95","2 150 854,84","8595,76"
"TOO ""PARCEL DELIVERY SERVICES""",09.02.2021,,,,,3764,"3 943 590,97","2 904 738,55","6915,60"
"TOO ""PARCEL DELIVERY SERVICES""",10.02.2021,,,,,3556,"3 774 267,47","2 694 716,58","8195,63"
"TOO ""PARCEL DELIVERY SERVICES""",11.02.2021,,,,,3430,"3 510 806,01","2 561 886,42","6278,32"
"TOO ""PARCEL DELIVERY SERVICES""",12.02.2021,,,,,3170,"3 694 458,78","2 663 795,69","6910,90"
"TOO ""PARCEL DELIVERY SERVICES""",13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
"TOO ""PARCEL DELIVERY SERVICES""",14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
"TOO ""PARCEL DELIVERY SERVICES""",15.02.2021,,,,,3545,"3 990 950,05","2 822 111,89","9054,02"
"TOO ""PARCEL DELIVERY SERVICES""",16.02.2021,1,"247,00","247,00","0,20",3665,"3 712 329,56","2 761 120,47","7860,97"
"TOO ""PARCEL DELIVERY SERVICES""",17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
"TOO ""PARCEL DELIVERY SERVICES""",18.02.2021,,,,,3317,"3 601 028,28","2 621 546,50","8063,76"
"TOO ""PARCEL DELIVERY SERVICES""",19.02.2021,3,"2 385,00","1 316,00","0,30",3491,"4 193 909,34","3 182 098,82","12949,70"
"TOO ""PARCEL DELIVERY SERVICES""",20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
"TOO ""PARCEL DELIVERY SERVICES""",21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
"TOO ""PARCEL DELIVERY SERVICES""",22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
"TOO ""PARCEL DELIVERY SERVICES""",23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
"TOO ""PARCEL DELIVERY SERVICES""",24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
"TOO ""PARCEL DELIVERY SERVICES""",25.02.2021,,,,,4005,"4 197 883,82","3 048 461,47","10063,78"
"TOO ""PARCEL DELIVERY SERVICES""",26.02.2021,5,"3 345,00","2 051,00","1,30",3923,"4 372 380,84","3 262 106,20","18305,83"
"TOO ""PARCEL DELIVERY SERVICES""",27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
"TOO ""PARCEL DELIVERY SERVICES""",28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
UPS,01.02.2021,5,"46 049,79","45 079,74","2,25",3525,"4 017 060,79","3 086 523,40","7559,22"
UPS,02.02.2021,1,"13 859,60","13 859,60","0,25",3920,"4 290 014,12","3 159 794,75","7989,82"
UPS,03.02.2021,1,"6 578,82","6 578,82","0,84",3671,"3 902 609,45","2 879 357,23","7921,78"
UPS,04.02.2021,,,,,4051,"4 083 924,05","2 876 229,86","10036,64"
UPS,05.02.2021,,,,,4240,"4 197 433,60","3 188 895,92","7769,89"
UPS,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
UPS,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
UPS,08.02.2021,,,,,3419,"3 055 828,95","2 150 854,84","8595,76"
UPS,09.02.2021,,,,,3764,"3 943 590,97","2 904 738,55","6915,60"
UPS,10.02.2021,1,"3 958,80","3 958,80","0,25",3556,"3 774 267,47","2 694 716,58","8195,63"
UPS,11.02.2021,,,,,3430,"3 510 806,01","2 561 886,42","6278,32"
UPS,12.02.2021,,,,,3170,"3 694 458,78","2 663 795,69","6910,90"
UPS,13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
UPS,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
UPS,15.02.2021,2,"14 533,39","12 916,64","1,00",3545,"3 990 950,05","2 822 111,89","9054,02"
UPS,16.02.2021,,,,,3665,"3 712 329,56","2 761 120,47","7860,97"
UPS,17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
UPS,18.02.2021,,,,,3317,"3 601 028,28","2 621 546,50","8063,76"
UPS,19.02.2021,2,"15 573,80","15 573,80","0,50",3491,"4 193 909,34","3 182 098,82","12949,70"
UPS,20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
UPS,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
UPS,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
UPS,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
UPS,24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
UPS,25.02.2021,,,,,4005,"4 197 883,82","3 048 461,47","10063,78"
UPS,26.02.2021,,,,,3923,"4 372 380,84","3 262 106,20","18305,83"
UPS,27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
UPS,28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
АБАКАН,01.02.2021,1,"2 089,00","1 253,40","0,50",3525,"4 017 060,79","3 086 523,40","7559,22"
АБАКАН,02.02.2021,1,"2 089,00","1 211,62","0,15",3920,"4 290 014,12","3 159 794,75","7989,82"
АБАКАН,03.02.2021,,,,,3671,"3 902 609,45","2 879 357,23","7921,78"
АБАКАН,04.02.2021,,,,,4051,"4 083 924,05","2 876 229,86","10036,64"
АБАКАН,05.02.2021,,,,,4240,"4 197 433,60","3 188 895,92","7769,89"
АБАКАН,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
